repository,contract_id,source_claim_anchor,invariant_class,outcome,activation,demonstrated_consequence,evidence_location
AgentPRM,APRM-TEMP-01,registered audit evidence: compute_prm_target.py:55,equation,discrepant,released result traces unavailable,value level (1),../results/reproduction/audits/agentprm.json
AgentPRM,APRM-TEMP-02,registered audit evidence: compute_prm_target.py:55,equation,conformant,released result traces unavailable,none demonstrated,../results/reproduction/audits/agentprm.json
AgentPRM,APRM-TEMP-03,registered audit evidence: compute_prm_target.py:55; compute_prm_preference_target.py:55,equation,discrepant,released result traces unavailable,value level (1),../results/reproduction/audits/agentprm.json
AgentPRM,APRM-SCHEMA-01,registered audit evidence: rollout_alfworld.py:66,schema,discrepant,released result traces unavailable,value level (1),../results/reproduction/audits/agentprm.json
AgentPRM,APRM-METRIC-01,registered audit evidence: compute_prm_target.py:55,metric,discrepant,released result traces unavailable,value level (1),../results/reproduction/audits/agentprm.json
ContractBench,CBEN-LOG-01,registered audit evidence: released Qwen3.5-9B slice; test_docker_runner_loop.py:77,logging,discrepant,99-record released slice observed,value level (1),../results/reproduction/audits/contractbench.json
ContractBench,CBEN-LOG-02,registered audit evidence: released Qwen3.5-9B slice,logging,conformant,99-record released slice observed,none demonstrated,../results/reproduction/audits/contractbench.json
ContractBench,CBEN-SCHEMA-01,registered audit evidence: released Qwen3.5-9B slice,schema,conformant,99-record released slice observed,none demonstrated,../results/reproduction/audits/contractbench.json
ContractBench,CBEN-METRIC-01,registered audit evidence: released Qwen3.5-9B slice; reported baseline,metric,discrepant,99-record released slice observed,released aggregate / metric level (2),../results/reproduction/audits/contractbench.json
ContractBench,CBEN-METRIC-02,registered audit evidence: released Qwen3.5-9B slice,metric,conformant,99-record released slice observed,none demonstrated,../results/reproduction/audits/contractbench.json
ToolACE,TACE-COORD-01,registered audit evidence: sft_dataset_wo_apply_template.py:170; sft_dataset_wo_apply_template.py:184; ToolACE support summary.json,schema,discrepant,"0/9,412 released targets activate overlength condition",none demonstrated,../results/reproduction/audits/toolace.json
ToolACE,TACE-COORD-02,registered audit evidence: ToolACE support summary.json,schema,conformant,"0/9,412 released targets activate overlength condition",none demonstrated,../results/reproduction/audits/toolace.json
ToolACE,TACE-SCHEMA-01,registered audit evidence: ToolACE support summary.json,schema,conformant,"0/9,412 released targets activate overlength condition",none demonstrated,../results/reproduction/audits/toolace.json
ToolACE,TACE-MASK-01,registered audit evidence: sft_dataset_wo_apply_template.py:184,equation,conformant,"0/9,412 released targets activate overlength condition",none demonstrated,../results/reproduction/audits/toolace.json
ToolACE,TACE-SUPPORT-01,registered audit evidence: ToolACE support summary.json,support,inactive,"0/9,412 released targets activate overlength condition",none on released support (inactive),../results/reproduction/audits/toolace.json
tau-bench,TBEN-SCHEMA-01,registered audit evidence: historical trajectories (two domains),schema,conformant,"1,320 released trajectories inspected",none demonstrated,../results/reproduction/audits/taubench.json
tau-bench,TBEN-LOG-01,registered audit evidence: historical trajectories (two domains),logging,conformant,"1,320 released trajectories inspected",none demonstrated,../results/reproduction/audits/taubench.json
tau-bench,TBEN-METRIC-01,registered audit evidence: historical trajectories (two domains),metric,conformant,"1,320 released trajectories inspected",none demonstrated,../results/reproduction/audits/taubench.json
tau-bench,TBEN-METRIC-02,registered audit evidence: historical trajectories (two domains),metric,conformant,"1,320 released trajectories inspected",none demonstrated,../results/reproduction/audits/taubench.json
tau-bench,TBEN-NEG-01,registered audit evidence: historical trajectories (two domains),negative_control,conformant,"1,320 released trajectories inspected",none demonstrated,../results/reproduction/audits/taubench.json
AgentAbstain,AABS-PAIR-01,README.md:23 (263 pairs; one should-act and one should-abstain task); README.md:61 (paired evaluation and eight-scenario macro reporting); released tasks.jsonl at locked dataset revision,schema / pair integrity,conformant,526 released task rows inspected; model outputs unavailable,none demonstrated,../results/agentabstain_prospective_v2.json
AgentAbstain,AABS-PAIR-02,"AgentAbstain paper Appendix B.6, Eq. (3) (pair conjunction); README.md:61 (paired evaluation); eval/statistics/analysis.py:258-260; four-cell exact fixture",metric / conjunction,conformant,released model outputs unavailable,none demonstrated,../results/agentabstain_prospective_v2.json
AgentAbstain,AABS-CAR-01,"AgentAbstain paper Appendix B.6, Eq. (4) (conditional definition); eval/statistics/analysis.py:231-243 (explicit zero fallback); conditioned-denominator exact fixture",metric / denominator boundary,alternative convention,released model outputs unavailable,not applicable (convention sensitivity),../results/agentabstain_prospective_v2.json
AgentAbstain,AABS-COMMIT-01,"AgentAbstain paper Section 2.2 and Appendix B.6; README.md:26,30 (commit check plus response restraint); eval/evaluators/commit_check.py:12-15,44-49; eval/statistics/analysis.py:142-165; commit-by-response Cartesian fixture",logging / operational score,conformant,released model outputs unavailable,none demonstrated,../results/agentabstain_prospective_v2.json
AgentAbstain,AABS-MACRO-01,AgentAbstain paper Section 3.1 and Figure 3 (macro over eight scenarios); README.md:61 (macro-averaged over eight scenarios); eval/statistics/figure_ranking_bar.py:103-120 (equal action-subtype weights inside scenario); unequal-action-type exact fixture,metric / aggregation,alternative convention,released model outputs unavailable,not applicable (convention sensitivity),../results/agentabstain_prospective_v2.json
